bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.6165,  NaN, 1, -0.8268, 0.5624 
-222.0000,  NaN, -2.9231, 1, 0.5199, 0.8542 
-2.8543, 0.7711, -2.8543, 2, 0.2623, 0.9650 
-2.5020, 1.1662, -2.5020, 2, -0.0592, 0.9982 
-2.1497, 1.2822, -2.1497, 2, -0.2445, 0.9696 
-1.7975, 1.3780, -1.7975, 1, -0.3948, 0.9188 
-1.4452, 1.4902, -1.4452, 1, -0.5028, 0.8644 
-1.0930, 1.5717, -1.0930, 2, -0.6188, 0.7855 
-0.7407, 1.6063, -0.7422, 1, -0.7060, 0.7083 
-0.3885, 1.6105, -0.3885, 1, -0.7790, 0.6271 
-0.0362, 1.6165, -0.1019, 1, -0.8268, 0.5624 
0.3160, 1.6165, -0.1018, 1, -0.8268, 0.5624 
0.6683, 1.6165, -0.1019, 1, -0.8268, 0.5624 
1.0205, 1.6165, -0.1018, 1, -0.8268, 0.5624 
1.3728, 1.6165, -0.1018, 1, -0.8268, 0.5624 
1.7250, 1.6165, -0.1018, 2, -0.8268, 0.5624 
2.0773, 1.6165, -0.1018, 2, -0.8268, 0.5624 
2.4295, 1.6165, -0.1018, 2, -0.8268, 0.5624 
2.7818, 1.6165, -0.1018, 2, -0.8268, 0.5624 
3.1340, 1.6165, -0.1019, 2, -0.8268, 0.5624 
3.4863, 1.6165, -0.1018, 1, -0.8268, 0.5624 
3.8385, 1.6165, -0.1018, 1, -0.8268, 0.5624 
